hybrid_type,count
miRNA-mRNA,316218
mRNA-mRNA,188028
mRNA-pseudogene,84634
miRNA-pseudogene,74108
pseudogene-pseudogene,34817
miRNA-miRNA,34391
miRNA-pr-tr,7939
mRNA-tRNA,7271
kshv-miRNA-mRNA,6675
mRNA-pr-tr,5980
pseudogene-tRNA,4559
miRNA-tRNA,2988
miRNA-mitoch-rRNA,2424
pr-tr-pseudogene,2195
kshv-miRNA-pseudogene,2171
miRNA-miscRNA,1920
mRNA-miscRNA,1680
miRNA-snRNA,1608
miRNA-kshv-miRNA,1554
mRNA-mitoch-rRNA,1540
miscRNA-pseudogene,1396
pr-tr-pr-tr,1395
mitoch-rRNA-pseudogene,1258
miRNA-lincRNA,902
mRNA-snRNA,898
lincRNA-mRNA,857
pseudogene-snRNA,814
mRNA-snoRNA,760
miRNA-snoRNA,759
pseudogene-snoRNA,481
lincRNA-pseudogene,364
snoRNA-snoRNA,323
mitoch-rRNA-mitoch-rRNA,266
miscRNA-miscRNA,241
pr-tr-tRNA,181
kshv-miRNA-pr-tr,160
tRNA-tRNA,155
miscRNA-pr-tr,121
kshv-miRNA-tRNA,96
mitoch-rRNA-tRNA,96
kshv-miRNA-snRNA,87
lincRNA-pr-tr,74
snRNA-snRNA,72
mitoch-rRNA-pr-tr,55
kshv-miRNA-mitoch-rRNA,53
snRNA-tRNA,47
miscRNA-tRNA,43
lincRNA-lincRNA,42
kshv-miRNA-kshv-miRNA,42
lincRNA-tRNA,40
kshv-miRNA-snoRNA,38
miscRNA-mitoch-rRNA,29
kshv-miRNA-miscRNA,24
mitoch-rRNA-snRNA,22
kshv-miRNA-lincRNA,15
snoRNA-tRNA,15
snRNA-snoRNA,12
pr-tr-snoRNA,11
miscRNA-snRNA,10
mitoch-rRNA-snoRNA,7
pr-tr-snRNA,6
lincRNA-snoRNA,5
lincRNA-mitoch-rRNA,3
miscRNA-snoRNA,3
Ig-mRNA,2
miRNA-Ig,2
Trec-mRNA,2
lincRNA-miscRNA,1
