mirna,mirna_type,target,target_type,count
mirna,-,total,-,791
kshv-miR-K12-7,kshv_microRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,25
kshv-miR-K12-7,kshv_microRNA,MIMAT0000078_MirBase_miR-23a_microRNA,miRNA,22
kshv-miR-K12-7,kshv_microRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,21
kshv-miR-K12-7,kshv_microRNA,ENSG00000240117_ENST00000474898_AC004448-1_pseudo,pseudogene,21
kshv-miR-K12-7,kshv_microRNA,MIMAT0000069_MirBase_miR-16_microRNA,miRNA,17
kshv-miR-K12-7,kshv_microRNA,MIMAT0000100_MirBase_miR-29b_microRNA,miRNA,15
kshv-miR-K12-7,kshv_microRNA,ENSG00000105854_ENST00000433091_PON2_mRNA,mRNA,14
kshv-miR-K12-7,kshv_microRNA,ENSG00000105854_ENST00000222572_PON2_mRNA,mRNA,14
kshv-miR-K12-7,kshv_microRNA,MIMAT0000417_MirBase_miR-15b_microRNA,miRNA,13
kshv-miR-K12-7,kshv_microRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,10
kshv-miR-K12-7,kshv_microRNA,MIMAT0000418_MirBase_miR-23b_microRNA,miRNA,9
kshv-miR-K12-7,kshv_microRNA,MIMAT0000101_MirBase_miR-103_microRNA,miRNA,8
kshv-miR-K12-7,kshv_microRNA,ENSG00000067225_ENST00000419739_PKM2_mRNA,mRNA,8
kshv-miR-K12-7,kshv_microRNA,ENSG00000067225_ENST00000389093_PKM2_mRNA,mRNA,8
kshv-miR-K12-7,kshv_microRNA,ENSG00000067225_ENST00000335181_PKM2_mRNA,mRNA,8
kshv-miR-K12-7,kshv_microRNA,ENSG00000067225_ENST00000319622_PKM2_mRNA,mRNA,8
kshv-miR-K12-7,kshv_microRNA,MIMAT0000278_MirBase_miR-221_microRNA,miRNA,7
kshv-miR-K12-7,kshv_microRNA,ENSG00000173889_ENST00000495893_PHC3_mRNA,mRNA,7
kshv-miR-K12-7,kshv_microRNA,ENSG00000139921_ENST00000457354_TMX1_mRNA,mRNA,6
kshv-miR-K12-7,kshv_microRNA,MIMAT0000279_MirBase_miR-222_microRNA,miRNA,6
kshv-miR-K12-7,kshv_microRNA,MIMAT0000104_MirBase_miR-107_microRNA,miRNA,6
kshv-miR-K12-7,kshv_microRNA,ENSG00000223496_ENST00000435634_EXOSC6_mRNA,mRNA,5
kshv-miR-K12-7,kshv_microRNA,ENSG00000198242_ENST00000422514_RPL23A_mRNA,mRNA,5
kshv-miR-K12-7,kshv_microRNA,ENSG00000236829_ENST00000457760_Z97634-5_pr-tr,pr-tr,5
kshv-miR-K12-7,kshv_microRNA,ENSG00000135624_ENST00000398422_CCT7_mRNA,mRNA,5
kshv-miR-K12-7,kshv_microRNA,ENSG00000135624_ENST00000258091_CCT7_mRNA,mRNA,5
kshv-miR-K12-7,kshv_microRNA,MIMAT0000259_MirBase_miR-182_microRNA,miRNA,5
kshv-miR-K12-7,kshv_microRNA,ENSG00000111642_ENST00000357008_CHD4_mRNA,mRNA,5
kshv-miR-K12-7,kshv_microRNA,MIMAT0000068_MirBase_miR-15a_microRNA,miRNA,4
kshv-miR-K12-7,kshv_microRNA,MIMAT0000460_MirBase_miR-194_microRNA,miRNA,4
kshv-miR-K12-7,kshv_microRNA,MIMAT0004784_MirBase_miR-455-3p_microRNA,miRNA,4
kshv-miR-K12-7,kshv_microRNA,MIMAT0004494_MirBase_miR-21*_microRNA,miRNA,4
kshv-miR-K12-7,kshv_microRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,4
kshv-miR-K12-7,kshv_microRNA,ENSG00000167004_ENST00000300289_PDIA3_mRNA,mRNA,4
kshv-miR-K12-7,kshv_microRNA,ENSG00000241530_ENST00000490522_AC006368-1_pseudo,pseudogene,3
kshv-miR-K12-7,kshv_microRNA,ENSG00000244466_ENST00000465918_AC015845-2_pseudo,pseudogene,3
kshv-miR-K12-7,kshv_microRNA,ENSG00000069275_ENST00000367142_NUCKS1_mRNA,mRNA,3
kshv-miR-K12-7,kshv_microRNA,ENSG00000101040_ENST00000360911_ZMYND8_mRNA,mRNA,3
